Location: shot_2
Time: 2017-11-05 10:54:29
Sampling Rate (ms): 2.0
Sample Number: 1000
Stack Count: 3

Chan:	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24
Gain:	    1	    1	    1	    2	    2	    2	    3	    3	    7	    4	    5	    7	    7	    6	    7	    7	    8	    8	    9	   10	   10	   10	   10	   10
Min:	  -10	  -10	  -10	   -9	   -9	   -9	   -8	   -8	   -4	   -7	   -6	   -4	   -4	   -5	   -4	   -4	   -3	   -3	   -2	   -1	   -1	   -1	   -1	   -1
Max:	   10	   10	   10	    9	    9	    9	    8	    8	    4	    7	    6	    4	    4	    5	    4	    4	    3	    3	    2	    1	    1	    1	    1	    1
Data:	   85	  -10	   19	   10	   19	   17	 -108	 -190	 -367	  137	 -387	   70	  -96	 -124	 -108	  849	 -166	  406	 -454	 -540	 -497	 -187	 -337	  625
Data:	  120	  -13	   10	    1	   14	   13	 -105	 -194	 -352	  139	 -376	   82	  -91	 -123	  -93	  863	 -166	  401	 -425	 -513	 -554	 -205	 -360	  671
Data:	  -36	  -19	    7	    0	   12	   10	 -103	 -191	 -341	  127	 -370	  104	  -80	 -118	 -107	  849	 -166	  422	 -451	 -522	 -601	 -165	 -352	  680
Data:	 -129	  -20	    1	    1	    4	    9	  -98	 -197	 -348	  134	 -351	  108	  -68	 -123	 -112	  840	 -179	  418	 -443	 -550	 -597	 -145	 -337	  700
Data:	    7	  -22	    8	   -4	    5	    3	 -101	 -194	 -347	  128	 -349	  104	  -84	 -122	 -164	  773	 -166	  431	 -519	 -819	 -654	 -188	 -381	  695
Data:	   69	  -19	    5	   -8	   -1	    0	 -100	 -191	 -379	  127	 -360	  116	  -76	 -117	 -153	  797	 -189	  413	 -543	 -880	 -640	 -228	 -419	  620
Data:	  262	   -4	    5	   -8	   -2	   -5	 -101	 -197	 -375	  131	 -358	  128	  -81	 -115	 -188	  765	 -164	  392	 -457	 -729	 -650	 -195	 -422	  623
Data:	  954	   -5	    0	   -8	   -7	   -7	  -92	 -183	 -393	  117	 -352	  126	  -88	 -117	 -130	  832	 -171	  386	 -522	 -752	 -612	 -189	 -459	  587
Data:	 2530	   33	   -2	   -5	    0	   -8	  -94	 -189	 -386	  105	 -345	   93	  -84	 -123	  -96	  862	 -146	  363	 -497	 -632	 -678	 -185	 -504	  541
Data:	 5169	   66	    4	   -5	    3	   -5	  -93	 -182	 -384	  107	 -361	   58	  -91	 -115	  -91	  857	 -157	  383	 -470	 -596	 -749	 -167	 -524	  575
Data:	 7709	  253	   23	   -1	    3	   -4	  -90	 -177	 -375	  111	 -370	   87	  -68	 -104	  -96	  866	 -119	  388	 -462	 -509	 -793	 -200	 -524	  493
Data:	 8002	  429	   49	    0	    9	   -2	  -86	 -174	 -359	  114	 -372	   71	  -92	 -115	  -76	  880	 -118	  411	 -435	 -431	 -778	 -224	 -581	  490
Data:	 4146	  458	   95	    0	   14	   -5	  -85	 -179	 -364	  110	 -381	   51	 -119	 -120	 -102	  855	 -112	  418	 -441	 -497	 -763	 -204	 -591	  496
Data:	-3814	  485	  106	   17	   19	   -6	  -70	 -189	 -325	  110	 -381	   42	  -96	 -129	 -115	  834	 -125	  427	 -438	 -539	 -796	 -191	 -616	  463
Data:	-13654	  518	  101	   31	   24	    6	  -74	 -183	 -313	  117	 -374	   75	  -83	 -123	 -110	  838	 -132	  447	 -433	 -549	 -707	 -194	 -603	  407
Data:	-22268	  539	  114	   35	   29	    3	  -63	 -189	 -313	  105	 -369	   81	  -80	 -121	 -120	  830	 -150	  447	 -460	 -584	 -749	 -222	 -602	  424
Data:	-26780	  471	  146	   38	   28	    0	  -58	 -194	 -310	  111	 -356	   65	  -73	 -120	 -128	  819	 -145	  449	 -454	 -699	 -702	 -278	 -625	  352
Data:	-25376	  290	  157	   59	   29	    4	  -62	 -198	 -302	  130	 -352	   77	  -80	 -120	 -143	  799	 -152	  438	 -503	 -796	 -701	 -254	 -582	  375
Data:	-18001	  -24	  136	   91	   40	    0	  -54	 -200	 -294	  123	 -340	  102	  -52	 -109	 -151	  797	 -182	  433	 -538	 -854	 -723	 -212	 -580	  341
Data:	-6563	 -431	   91	   77	   50	   12	  -55	 -205	 -291	  117	 -327	  104	  -42	  -98	 -142	  810	 -163	  433	 -513	 -803	 -773	 -255	 -644	  274
Data:	 5580	 -899	   39	   52	   58	   13	  -43	 -198	 -310	  114	 -304	  124	  -42	  -94	 -135	  823	 -182	  417	 -508	 -745	 -723	 -184	 -670	  282
Data:	14947	-1324	   -1	   44	   50	   18	  -46	 -195	 -312	  125	 -304	  133	  -52	  -83	 -128	  823	 -159	  410	 -511	 -754	 -668	 -216	 -702	  314
Data:	18826	-1682	  -83	   16	   43	   23	  -41	 -205	 -320	  128	 -311	  120	  -60	  -78	 -133	  815	 -168	  418	 -503	 -752	 -771	 -294	 -699	  228
Data:	16646	-1873	 -203	  -14	   32	   25	  -37	 -206	 -309	  128	 -313	  105	  -61	  -76	 -123	  828	 -159	  413	 -492	 -704	 -741	 -284	 -681	  268
Data:	10644	-1868	 -260	  -59	   18	   24	  -38	 -186	 -294	  122	 -293	  105	  -69	  -61	 -114	  838	 -148	  431	 -503	 -714	 -773	 -197	 -680	  287
Data:	 5250	-1610	 -288	  -92	  -24	   10	  -42	 -177	 -301	  127	 -297	  118	  -64	  -80	 -112	  835	 -128	  429	 -495	 -683	 -761	 -187	 -664	  267
Data:	 4711	-1074	 -348	  -83	  -44	    0	  -45	 -179	 -297	  137	 -302	  100	  -64	  -75	 -110	  836	 -134	  456	 -500	 -633	 -730	 -115	 -664	  326
Data:	10186	 -327	 -401	  -98	  -56	  -16	  -62	 -177	 -302	  154	 -311	   87	  -53	  -64	 -111	  842	 -139	  451	 -468	 -586	 -678	 -138	 -591	  344
Data:	19153	  507	 -407	 -127	  -60	  -32	  -90	 -181	 -262	  163	 -315	  113	  -65	  -68	 -110	  847	 -141	  454	 -449	 -577	 -712	 -225	 -580	  347
